File,H:\github\cs-ntnu\cs-ntnu\ntnu-dtu\5-semester-dtu-exchange\digitalmanufacturing-industry4.0\module-06\moldex3d-simulation\Digital Manufacturing 1\Analysis\Run01\Digital Manufacturing 101_CSHistory.csv
Title,Power Supply History Record
Time[sec],CC 1 Temperature(oC),Ctrl SN(0), ,CC 2 Temperature(oC),Ctrl SN(0), ,CC 3 Temperature(oC),Ctrl SN(0), ,CC 4 Temperature(oC),Ctrl SN(0), ,CC 5 Temperature(oC),Ctrl SN(0), ,CC 6 Temperature(oC),Ctrl SN(0), ,CC 7 Temperature(oC),Ctrl SN(0), ,CC 8 Temperature(oC),Ctrl SN(0), 
0.170684,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.172727,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.174770,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.176813,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.178856,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.180899,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.182941,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.184984,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.187027,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.189070,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.191113,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.193156,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
0.195198,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, ,40.00,0.00, 
